week,mean,perc_75,perc_25,Estado
1,0.0,0.0,0.0,AL
2,0.0,0.0,0.0,AL
3,0.0,0.0,0.0,AL
4,0.0,0.75,0.0,AL
5,0.0,0.0,0.0,AL
6,0.0,0.0,0.0,AL
7,0.0,0.0,0.0,AL
8,0.0,0.0,0.0,AL
9,0.0,0.0,0.0,AL
10,0.0,0.75,0.0,AL
11,0.0,0.75,0.0,AL
12,0.0,0.75,0.0,AL
13,0.0,0.0,0.0,AL
14,0.0,0.0,0.0,AL
15,0.0,0.0,0.0,AL
16,0.0,0.0,0.0,AL
17,0.0,0.0,0.0,AL
18,0.0,0.0,0.0,AL
19,0.0,0.0,0.0,AL
20,0.0,1.0,0.0,AL
21,0.0,0.0,0.0,AL
22,0.0,0.0,0.0,AL
23,0.0,1.0,0.0,AL
24,0.0,0.0,0.0,AL
25,0.0,0.0,0.0,AL
26,0.0,0.0,0.0,AL
27,0.0,0.0,0.0,AL
28,0.0,0.0,0.0,AL
29,0.0,0.75,0.0,AL
30,0.5,1.0,0.0,AL
31,0.0,0.0,0.0,AL
32,0.0,0.0,0.0,AL
33,0.0,0.0,0.0,AL
34,0.5,1.0,0.0,AL
35,0.0,0.75,0.0,AL
36,0.0,1.0,0.0,AL
37,0.0,0.0,0.0,AL
38,0.0,1.0,0.0,AL
39,0.0,0.0,0.0,AL
40,0.0,0.75,0.0,AL
41,0.0,0.0,0.0,AL
42,0.0,1.0,0.0,AL
43,0.0,0.0,0.0,AL
44,0.0,0.0,0.0,AL
45,0.0,0.0,0.0,AL
46,0.0,0.75,0.0,AL
47,0.0,0.0,0.0,AL
48,0.0,0.75,0.0,AL
49,0.0,0.0,0.0,AL
50,0.0,0.0,0.0,AL
51,0.0,0.0,0.0,AL
52,0.0,0.0,0.0,AL
53,0.0,0.0,0.0,AL
1,1.0,1.0,0.0,RS
2,0.0,0.75,0.0,RS
3,0.0,0.0,0.0,RS
4,0.0,0.75,0.0,RS
5,0.0,0.0,0.0,RS
6,0.0,0.75,0.0,RS
7,0.0,0.75,0.0,RS
8,0.0,0.75,0.0,RS
9,0.0,0.75,0.0,RS
10,0.0,1.0,0.0,RS
11,0.0,0.0,0.0,RS
12,0.0,0.0,0.0,RS
13,0.0,0.75,0.0,RS
14,0.0,0.75,0.0,RS
15,0.0,0.75,0.0,RS
16,0.0,1.0,0.0,RS
17,0.0,1.0,0.0,RS
18,0.0,0.75,0.0,RS
19,0.0,1.5,0.0,RS
20,0.5,1.75,0.0,RS
21,0.0,4.25,0.0,RS
22,1.0,1.0,0.0,RS
23,1.5,2.75,0.0,RS
24,1.5,5.0,0.0,RS
25,2.5,4.75,0.0,RS
26,4.0,6.0,2.0,RS
27,2.0,6.0,1.25,RS
28,4.0,7.25,1.5,RS
29,4.0,8.0,2.25,RS
30,3.0,8.75,1.25,RS
31,5.5,7.75,3.0,RS
32,3.0,6.75,1.0,RS
33,3.0,6.25,1.25,RS
34,0.5,2.75,0.0,RS
35,1.5,3.5,0.25,RS
36,1.5,2.75,0.25,RS
37,1.0,1.75,0.0,RS
38,0.5,2.5,0.0,RS
39,1.5,2.75,1.0,RS
40,0.0,1.0,0.0,RS
41,1.0,1.75,0.25,RS
42,0.5,1.0,0.0,RS
43,1.0,1.0,0.25,RS
44,0.0,0.0,0.0,RS
45,0.0,1.0,0.0,RS
46,0.5,1.0,0.0,RS
47,0.0,0.75,0.0,RS
48,0.0,0.0,0.0,RS
49,0.0,0.0,0.0,RS
50,0.5,1.0,0.0,RS
51,0.0,1.75,0.0,RS
52,0.0,0.0,0.0,RS
53,0.0,0.0,0.0,RS
1,0.0,1.0,0.0,PR
2,0.0,0.0,0.0,PR
3,0.0,0.0,0.0,PR
4,1.0,1.0,0.0,PR
5,0.0,1.0,0.0,PR
6,0.0,0.0,0.0,PR
7,1.0,2.0,0.0,PR
8,0.0,1.0,0.0,PR
9,0.0,1.0,0.0,PR
10,0.0,1.0,0.0,PR
11,1.0,1.0,0.0,PR
12,0.0,1.0,0.0,PR
13,0.0,2.0,0.0,PR
14,1.0,3.0,0.0,PR
15,1.0,2.0,0.0,PR
16,1.0,1.0,0.25,PR
17,0.0,1.0,0.0,PR
18,1.0,1.0,0.25,PR
19,0.5,2.5,0.0,PR
20,2.0,2.75,0.25,PR
21,2.0,3.0,0.25,PR
22,2.0,4.5,0.25,PR
23,2.5,5.75,0.25,PR
24,2.0,3.75,1.25,PR
25,2.0,9.5,1.0,PR
26,2.5,8.0,0.25,PR
27,4.5,7.25,2.25,PR
28,4.0,7.75,1.25,PR
29,3.5,5.75,1.25,PR
30,3.5,7.75,1.25,PR
31,3.0,3.0,2.0,PR
32,2.0,3.0,1.0,PR
